txHash,fromChain,fromTokenAddress,fromTokenAmount,toChain,toTokenAddress,toTokenAmount,gasPrice,totalCostUSD,strategy,createdAt,transactionType
0xeb4873b4498cf1bb16db883e3b21e8a731b7f995decbd2ace1da72db54f7818d,10,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000000,137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,10000000,1500000002,0.037166522396395875,connext,2024-02-27T16:52:52.833Z,allocate
0x48a13c04e32daae2f52aa85fdd384c6d955b0e232aeaf59b6e2a38e978ea58eb,10,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000000,137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,10000000,1500000002,0.03715390992771417,connext,2024-02-27T16:52:52.833Z,allocate
0x5010729610f5484c97bcfec437eba38d6464f5cd1ee434b818b04f99f4aca6e3,10,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000000,137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,10000000,1500000002,0.03716652239519764,connext,2024-02-27T16:52:52.833Z,allocate
0x13dd0ed6266e4791a8ac7ce454b728751ec857d7db06847ae7e54ce896cf7344,10,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000000,137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,10000000,1500000002,0.03715390992771417,connext,2024-02-27T16:52:52.833Z,allocate
0x39b03b321f33118ed3b1ad520d015bb922e7f1d6ccaf989ad5613523f0c0cfd5,10,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000000,137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,10000000,1500000002,0.03671127649489093,connext,2024-02-27T16:52:52.833Z,allocate
0x043248b321a276f38636fc3b5f99d1782b54eed8a14e1f85cc583d7eb21f46d0,10,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000000,137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,10000000,1500000002,0.036711276397134174,connext,2024-02-27T16:52:52.833Z,allocate
0xc35a9e85658d709dee606c42cb55e2627af797569b80c85c1ec03cec546f6d94,10,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000000,137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,10000000,1500000002,0.03715390992852379,connext,2024-02-27T16:52:52.833Z,allocate
0x4e64e12fd37b4a84651e7c08dd49fff0488e270e5aa8e03f525ae7cc1d358da8,10,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000000,137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,10000000,1500000002,0.03671127639554732,connext,2024-02-27T16:52:52.833Z,allocate
0x27c92ae741e5e923f3ecca60211bdf10f645afb49abd801c3296dc3e358e753b,10,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000000,137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,10000000,1500000002,0.03715390992852379,connext,2024-02-27T16:52:52.833Z,allocate
0x85ca52edffb9afd2947898f741ddca623bba793d2ae9b6e74df08e0a52aeea6f,10,0x7f5c764cbc14f9669b88837ca1490cca17c31607,10000000,137,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,10000000,1500000002,0.03715390992808983,connext,2024-02-27T16:52:52.833Z,allocate
